_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
6790297f58d39b7843f2d384,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,ZHIDMAD,10358,JOSE MORA LOPEZ,01H01073,Ordinario,Fiscal,Rural,Sierra,Intercultural,5,2,7,57,51,108,108,0,0,0,0,0
6790297f58d39b7843f2d385,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,ZHIDMAD,10358,JORGE ALBERTO VAZQUEZ MORALES,01H01074,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,1,2,18,21,39,39,0,0,0,0,0
6790297f58d39b7843f2d386,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,ZHIDMAD,10358,ZHIDMAD,01H01075,Ordinario,Fiscal,Rural,Sierra,Intercultural,7,7,14,67,59,126,124,0,0,0,2,0
6790297f58d39b7843f2d387,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,ZHIDMAD,10358,TOMAS ORDOÑEZ,01H01078,Ordinario,Fiscal,Rural,Sierra,Intercultural,9,3,12,140,116,256,256,0,0,0,0,0
6790297f58d39b7843f2d388,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,ZHIDMAD,10358,PRINCESA PACCHA,01H01079,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,0,1,4,7,11,11,0,0,0,0,0
6790297f58d39b7843f2d389,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,LUIS CORDERO VEGA,10359,REMIGIO ASTUDILLO,01H01080,Ordinario,Fiscal,Rural,Sierra,Intercultural,5,1,6,35,38,73,73,0,0,0,0,0
6790297f58d39b7843f2d38a,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,MONSEÑOR LEONIDAS PROAÑO EXT. NABON,01H01082,Popular Permanente,Fiscomisional,Urbana,Sierra,Intercultural,2,1,3,76,63,139,139,0,0,0,0,0
6790297f58d39b7843f2d38b,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,GENERAL DAVALOS,01H01083,Ordinario,Fiscal,Urbana,Sierra,Intercultural,0,1,1,7,8,15,15,0,0,0,0,0
6790297f58d39b7843f2d38c,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,AGUSTIN J. PERALTA,01H01084,Ordinario,Fiscal,Urbana,Sierra,Intercultural,15,3,18,224,237,461,461,0,0,0,0,0
6790297f58d39b7843f2d38d,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,NABON,01H01085,Ordinario,Fiscal,Urbana,Sierra,Intercultural,10,12,22,169,202,371,371,0,0,0,0,0
6790297f58d39b7843f2d38e,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,JOSE ORTIZ DIAZ,01H01086,Ordinario,Fiscal,Urbana,Sierra,Intercultural,2,0,2,16,21,37,37,0,0,0,0,0
6790297f58d39b7843f2d38f,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,ABELARDO RODRIGUEZ,01H01087,Ordinario,Fiscal,Urbana,Sierra,Intercultural,3,1,4,32,30,62,62,0,0,0,0,0
6790297f58d39b7843f2d390,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,FRANCISCO CHICO PACHECO,01H01090,Ordinario,Fiscal,Urbana,Sierra,Intercultural,10,1,11,149,141,290,290,0,0,0,0,0
6790297f58d39b7843f2d391,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,HECTOR EFRAIN PILCO,01H01091,Ordinario,Fiscal,Urbana,Sierra,Intercultural,3,0,3,22,15,37,37,0,0,0,0,0
6790297f58d39b7843f2d392,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,SAMUEL FRANCISCO CISNEROS PINEDA,01H01092,Ordinario,Fiscal,Urbana,Sierra,Intercultural,1,1,2,14,12,26,26,0,0,0,0,0
6790297f58d39b7843f2d393,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,IGNACIO DE VEINTIMILLA,01H01093,Ordinario,Fiscal,Urbana,Sierra,Intercultural,1,0,1,9,12,21,21,0,0,0,0,0
6790297f58d39b7843f2d394,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,JERONIMO CARRION,01H01096,Ordinario,Fiscal,Urbana,Sierra,Intercultural,2,1,3,28,22,50,50,0,0,0,0,0
6790297f58d39b7843f2d395,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,WILFRIDO CARRION,01H01097,Ordinario,Fiscal,Urbana,Sierra,Intercultural,1,1,2,19,13,32,32,0,0,0,0,0
6790297f58d39b7843f2d396,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,LLUCHIN,01H01098,Ordinario,Fiscal,Urbana,Sierra,Intercultural,2,0,2,18,10,28,28,0,0,0,0,0
6790297f58d39b7843f2d397,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,JUAN AGUILAR CUBILLUS,01H01099,Ordinario,Fiscal,Urbana,Sierra,Intercultural,2,0,2,15,21,36,36,0,0,0,0,0
6790297f58d39b7843f2d398,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,NABON,10450,ROSA ELENA ZEA,01H01100,Ordinario,Fiscal,Urbana,Sierra,Intercultural,2,1,3,29,16,45,45,0,0,0,0,0
6790297f58d39b7843f2d399,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,COCHAPATA,10451,10 DE DICIEMBRE,01H01103,Ordinario,Fiscal,Rural,Sierra,Intercultural,2,0,2,8,14,22,22,0,0,0,0,0
6790297f58d39b7843f2d39a,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,COCHAPATA,10451,EL RODEO,01H01104,Ordinario,Fiscal,Rural,Sierra,Intercultural,2,3,5,35,45,80,80,0,0,0,0,0
6790297f58d39b7843f2d39b,2011-2012 Inicio,Zona 6,AZUAY,1,NABON,104,COCHAPATA,10451,SAN JOSE DE CHALCAY,01H01105,Ordinario,Fiscal,Rural,Sierra,Intercultural,2,0,2,15,15,30,30,0,0,0,0,0
